[2026-03-23 17:24:03.175906][UC][I] Logger initialized successfully [2745879,2745879][__init__.py:48,<module>]
[2026-03-23 17:24:03.207772][UC][I] Creating connector with name: UcmLustreStore [2745879,2745879][factory_v1.py:56,create_connector]
[2026-03-23 17:24:03.208806][UC][I] LustreStore-(Release). [2745879,2745879][lustre_store.cc:115,ShowConfig]
[2026-03-23 17:24:03.208830][UC][I] Set LustreStore::StorageBackends to ["/home/w2938/test/lustre_store"]. [2745879,2745879][lustre_store.cc:116,ShowConfig]
[2026-03-23 17:24:03.208839][UC][I] Set LustreStore::DeviceId to -1. [2745879,2745879][lustre_store.cc:117,ShowConfig]
[2026-03-23 17:24:03.208846][UC][I] Set LustreStore::TensorSize to 512. [2745879,2745879][lustre_store.cc:118,ShowConfig]
[2026-03-23 17:24:03.208852][UC][I] Set LustreStore::ShardSize to 512. [2745879,2745879][lustre_store.cc:119,ShowConfig]
[2026-03-23 17:24:03.208858][UC][I] Set LustreStore::BlockSize to 512. [2745879,2745879][lustre_store.cc:120,ShowConfig]
[2026-03-23 17:24:03.208864][UC][I] Set LustreStore::IoDirect to false. [2745879,2745879][lustre_store.cc:121,ShowConfig]
[2026-03-23 17:24:03.208872][UC][I] Set LustreStore::DataTransConcurrency to 16. [2745879,2745879][lustre_store.cc:122,ShowConfig]
[2026-03-23 17:24:03.208878][UC][I] Set LustreStore::LookupConcurrency to 8. [2745879,2745879][lustre_store.cc:123,ShowConfig]
[2026-03-23 17:24:03.208884][UC][I] Set LustreStore::TimeoutMs to 30000. [2745879,2745879][lustre_store.cc:124,ShowConfig]
[2026-03-23 17:24:03.208890][UC][I] Set LustreStore::DataDirShardBytes to 3. [2745879,2745879][lustre_store.cc:125,ShowConfig]
[2026-03-23 17:24:03.208896][UC][I] Set LustreStore::StripeCount to 0. [2745879,2745879][lustre_store.cc:126,ShowConfig]
[2026-03-23 17:24:03.208902][UC][I] Set LustreStore::StripeSize to 0. [2745879,2745879][lustre_store.cc:127,ShowConfig]
[2026-03-23 17:24:03.208946][UC][I] UcmLustreStore initialized with backends: ['/home/w2938/test/lustre_store'] [2745879,2745879][lustre_connector.py:109,__init__]
[2026-03-23 17:24:03.209056][UC][W] LustreStore::Lookup not implemented yet, returning empty result for 2 blocks. [2745879,2745879][lustre_store.cc:173,Lookup]
[2026-03-23 17:24:03.209245][UC][W] LustreStore::LookupOnPrefix not implemented yet. [2745879,2745879][lustre_store.cc:185,LookupOnPrefix]
[2026-03-23 17:24:03.209295][UC][W] LustreStore::Prefetch not implemented yet. [2745879,2745879][lustre_store.cc:193,Prefetch]
