[2026-03-23 17:27:37.926911][UC][I] Logger initialized successfully [2747320,2747320][__init__.py:48,<module>]
[2026-03-23 17:27:37.958398][UC][I] Creating connector with name: UcmLustreStore [2747320,2747320][factory_v1.py:56,create_connector]
[2026-03-23 17:27:37.959417][UC][I] LustreStore-(Release). [2747320,2747320][lustre_store.cc:115,ShowConfig]
[2026-03-23 17:27:37.959441][UC][I] Set LustreStore::StorageBackends to ["/home/w2938/test/lustre_store"]. [2747320,2747320][lustre_store.cc:116,ShowConfig]
[2026-03-23 17:27:37.959450][UC][I] Set LustreStore::DeviceId to -1. [2747320,2747320][lustre_store.cc:117,ShowConfig]
[2026-03-23 17:27:37.959457][UC][I] Set LustreStore::TensorSize to 512. [2747320,2747320][lustre_store.cc:118,ShowConfig]
[2026-03-23 17:27:37.959464][UC][I] Set LustreStore::ShardSize to 512. [2747320,2747320][lustre_store.cc:119,ShowConfig]
[2026-03-23 17:27:37.959470][UC][I] Set LustreStore::BlockSize to 512. [2747320,2747320][lustre_store.cc:120,ShowConfig]
[2026-03-23 17:27:37.959476][UC][I] Set LustreStore::IoDirect to false. [2747320,2747320][lustre_store.cc:121,ShowConfig]
[2026-03-23 17:27:37.959482][UC][I] Set LustreStore::DataTransConcurrency to 16. [2747320,2747320][lustre_store.cc:122,ShowConfig]
[2026-03-23 17:27:37.959487][UC][I] Set LustreStore::LookupConcurrency to 8. [2747320,2747320][lustre_store.cc:123,ShowConfig]
[2026-03-23 17:27:37.959493][UC][I] Set LustreStore::TimeoutMs to 30000. [2747320,2747320][lustre_store.cc:124,ShowConfig]
[2026-03-23 17:27:37.959499][UC][I] Set LustreStore::DataDirShardBytes to 3. [2747320,2747320][lustre_store.cc:125,ShowConfig]
[2026-03-23 17:27:37.959505][UC][I] Set LustreStore::StripeCount to 0. [2747320,2747320][lustre_store.cc:126,ShowConfig]
[2026-03-23 17:27:37.959511][UC][I] Set LustreStore::StripeSize to 0. [2747320,2747320][lustre_store.cc:127,ShowConfig]
[2026-03-23 17:27:37.959552][UC][I] UcmLustreStore initialized with backends: ['/home/w2938/test/lustre_store'] [2747320,2747320][lustre_connector.py:109,__init__]
[2026-03-23 17:27:37.959661][UC][W] LustreStore::Lookup not implemented yet, returning empty result for 2 blocks. [2747320,2747320][lustre_store.cc:173,Lookup]
[2026-03-23 17:27:37.959848][UC][W] LustreStore::LookupOnPrefix not implemented yet. [2747320,2747320][lustre_store.cc:185,LookupOnPrefix]
[2026-03-23 17:27:37.959887][UC][W] LustreStore::Prefetch not implemented yet. [2747320,2747320][lustre_store.cc:193,Prefetch]
